Year,GDP_Growth_Rate,GDP_Current_USD,GDP_Per_Capita
1990,-2.39929109760386,2550185679.08109,345.773495134655
1991,-2.5143796537652,1911600236.67461,253.966902025944
1992,5.87272524148186,2029026961.55894,264.083914517464
1993,-8.1086918809961,1971525711.83511,247.023318476014
1994,-50.2480671038988,753636370.454545,110.953668251372
1995,35.2240783089712,1293535193.49248,227.971147849318
1996,12.7456957645316,1382334879.40812,206.04911417485
1997,13.8497524857822,1851558197.31088,238.749371368214
1998,8.85866949392693,1989343546.17594,246.154673288384
1999,4.35188831936337,2157108262.84452,264.74368682977
2000,8.37089593548548,2068836754.37431,251.86926386091
2001,8.4845603416011,1966600715.49841,237.308846200901
2002,13.1920736254262,1966003468.49117,234.043016755733
2003,2.20238751139603,2138237278.73822,249.012274982252
2004,7.44766737034072,2376496067.01198,269.540446333402
2005,9.3778991673686,2933819766.17656,324.016863847189
2006,9.22707576798881,3319784538.73346,356.995022901154
2007,7.63329819125276,4070507894.61656,426.234183487629
2008,11.1612473247323,5179854064.57033,528.326391755502
2009,6.24825750620508,5674476969.06444,564.039095842449
2010,7.33465645006753,6124756654.12346,593.624927744346
2011,7.95838869847094,6884913658.10632,651.133677964662
2012,8.64150815836322,7654761050.18587,706.817269168561
2013,4.71984856978263,7819964030.17937,704.92421851123
2014,6.16716615166932,8238966124.23115,724.957526520906
2015,8.8568555974538,8543760199.80208,733.998629882494
2016,5.97074525431094,8695272057.91798,729.519133812945
2017,3.91817093628465,9252833891.40871,758.300966509647
2018,8.51646722592409,9637904520.86283,771.773511207309
2019,9.44738518613097,10349300276.7623,810.051412137354
2020,-3.37368746369782,10174386856.6101,778.701498925026
2021,10.8584320184896,11078787090.1564,829.544845263697
2022,8.16120720872912,13316161002.3912,975.469323735369
2023,8.24990302014558,14331722703.4134,1027.03446826565
2024,8.89065529573114,14251642235.0968,999.65456165547
